id,name,gameName,area,category,lat,lng,precision,priority,anime,status,statusNote,address,access,description,warnings,reliability,gmapsUrl,official,officialUrl,refImage,srcAnime,srcGame,guide,episodes
takamatsu-port,高松港フェリーターミナル,島への出発点,出発地,港・交通,34.42586,134.0559,high,,,open,,香川県高松市サンポート8-1,JR高松駅から徒歩約10分 / 空港リムジンバス約40分。女木・男木・直島行きフェリー発着地。,聖地巡礼の起点。ここから各島へフェリーで渡る。,,5,https://maps.app.goo.gl/96RVS93SoesSfRd18,,,,,,,
ogi-port,男木港フェリーターミナル,鳥白島港の入口,男木島,港・交通,34.42225,134.05433,high,,confirmed,open,,香川県高松市男木町1986,高松港からフェリー約40分（女木島経由・¥510）。,男木島の玄関口。猫の島としても有名で、港周辺に猫が多い。,,4,https://maps.app.goo.gl/9ZBrv8qeu3dLfAjA7,,,,,,,
ogi-lighthouse,男木島灯台,紬の灯台・作品シンボル,男木島,灯台,34.43375,134.06069,high,true,confirmed,open,,香川県高松市男木町1062-3,男木港から徒歩約30分。灯台資料館・無料キャンプ場併設。,1895年初点灯。庵治石の無塗装石造灯台（全国2基のみ）。2026/1/15 国の重要文化財指定・日本の灯台50選。紬ヴェンダースの家として登場する作品全体のビジュアルモチーフ。,,5,https://maps.app.goo.gl/bWKFeVb6oQHj6Hc86,true,https://summer-pockets.main.jp/2024/07/30/lighthouse/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/toudai-5.jpg,true,true,true,OP|2
toyotama,豊玉姫神社,静久のキービジュアル背景,男木島,神社・祠,34.42266,134.05615,high,,,open,,香川県高松市男木町1903,男木港の大鳥居から石段で約15分（展望台的役割も兼ねる）。,祭神は豊玉姫命。安産の神として信仰され、男木・女木・直島の氏神。加藤静久のキービジュアル背景。,,4,https://maps.app.goo.gl/WqMAMPFFsmoV1uv76,true,https://summer-pockets.main.jp/2024/07/30/shizukukv/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/sizuku-1.jpg,,true,true,
gyokyo,東瀬戸漁業協同組合 男木支所,鳥白島役場・治安維持部,男木島,公共施設,34.4209554432031,134.0540823204597,high,,,open,,香川県高松市男木町104-6,男木港から徒歩1分（降船後すぐ右側）。,作中の「役場 / 治安執行部」のモデル。港から目立つ建物。,,3,https://maps.app.goo.gl/u6woHxgjnUDU1N799,true,https://summer-pockets.main.jp/2024/07/29/yakuba/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/yakuba02.jpg,true,true,true,
ogi-school,高松市立男木小中学校,プール・秘密基地,男木島,公共施設,34.42001,134.05686,high,,confirmed,caution,プール撮影禁止,香川県高松市男木町1988,男木港から徒歩圏内。,3レーン構造のプールが出会いシーンの舞台。隣接の「秘密基地」建物は2021年に取り壊し済みで現存しない。,プールは撮影禁止・外観のみ,4,https://maps.app.goo.gl/5qnSaKyZ92tb3QweA,true,https://summer-pockets.main.jp/2024/07/29/pool/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/puru.jpg,true,true,true,OP|1
ogi-tower,男木島の鉄塔,のみきのキービジュアル背景,男木島,ランドマーク,34.42188574535442,134.0546577015058,high,,,open,,香川県高松市男木町,男木港正面。,港の正面に立つ特徴的な鉄塔。キービジュアル背景。,,3,https://maps.app.goo.gl/WN7KiJR4xTS1PW7F7,true,https://summer-pockets.main.jp/2024/07/29/nomikikv/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/nomiki-5.jpg,true,true,true,1
ogi-monument,灯台裏浜辺の石碑,神山識の鎮魂碑,男木島,石碑,34.43355,134.0609,high,,,open,,香川県高松市男木町1062-3（灯台北側）,男木島灯台の裏側・北側砂浜。灯台に隣接。,RB追加キャラ「識」ルートの鎮魂碑シーン。ゲーム内では大きな石碑だが、実際はより小さい祠か岩とされる。,,2,,true,https://summer-pockets.main.jp/2024/07/30/cenotaph/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/toudai-12.jpg,,,true,
megi-port,女木港フェリーターミナル,鳥白島港（女木側）,女木島,港・交通,34.38944,134.05211,high,,confirmed,open,,香川県高松市女木町15-22,高松港からフェリー約20分（¥370）。,鬼ヶ島伝説の島・女木島の玄関口。鬼ヶ島大洞窟へはバスで直行可能。,,4,https://maps.app.goo.gl/7p7FEoP3Azq89uQz5,,,,,,,
onigashima-cave,鬼ヶ島大洞窟,洞窟探索シーン,女木島,洞窟・自然,34.39743890962647,134.04661201004083,high,true,confirmed,open,入洞料¥500,香川県高松市女木町135（鷲ヶ峰中腹）,女木港からバス約5分（フェリー到着に合わせ運行）→終点。入洞料¥500。,"広さ約4,000m²・奥行400m。久島鴎ルートの冒険シーン（一夜を明かす場面）の舞台。内部は約15℃と涼しく上着推奨。洞内は携帯圏外。",洞窟内は携帯圏外・夏でも肌寒い,5,https://maps.app.goo.gl/hSsTHTZzSxL58spn8,true,https://summer-pockets.main.jp/2024/07/30/cave/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/dokutu-3-1.jpg,true,true,true,4|5
washigamine,鷲ヶ峰展望台,秘密基地からの眺め,女木島,展望台,34.39695,134.05074,high,,,open,,香川県高松市女木町2633,鬼ヶ島大洞窟の出口から直結（徒歩すぐ）。,標高188m・女木島最高地点。高松市街と瀬戸内海の大パノラマ。,,4,https://maps.app.goo.gl/XfCoh18qan89AzJR9,,,,,,,
koibitomisaki,恋人岬,ビーチ・海辺シーン,女木島,海・浜,34.39302,134.05499,high,,,open,,香川県高松市女木町453-1,女木港から南へ約400m・徒歩。,海辺シーンの舞台。,,3,https://maps.app.goo.gl/M3us8FEkeUdcE7py7,,,,true,,,1
megi-moai,女木島モアイ像,島の象徴的ランドマーク,女木島,アート・モニュメント,34.38949,134.05238,high,,,open,,香川県高松市女木町15-22,女木港付近。,港付近の個性的なモアイ像。,,3,https://maps.app.goo.gl/dGi4M5b3REMNiDYq5,,,,,,,
oni-yakata,鬼の館,鬼伝説展示・休憩所,女木島,観光施設,34.38956,134.05246,high,,,open,,香川県高松市女木町15-22,女木港に隣接。,鬼ヶ島伝説の展示・休憩所。,,3,https://maps.app.goo.gl/b674WYgqZMkYNiT88,,,,,,,
megi-art-panel,女木港堤防アートパネル（鴎モチーフ）,アニメ版新規,女木島,アート・モニュメント,34.3896,134.0523,high,,new,open,,香川県高松市女木町（女木港付近）,女木港付近。座標は推定。,アニメ版（第4話）で初めて描かれた港付近のアートパネル。ゲーム版に対応なし。,座標は推定・現地確認推奨,2,,true,https://summer-pockets.main.jp/2025/04/30/anime04/,https://summer-pockets.main.jp/wp-content/uploads/2025/04/052.jpg,,,,
megi-piano,帆船のピアノ彫像,アニメ版新規,女木島,アート・モニュメント,34.3895,134.0526,high,,new,open,,香川県高松市女木町（女木港付近）,女木港付近。座標は推定。,アニメ版（第5話）登場の現代アート作品。ゲーム版に対応なし。,座標は推定・現地確認推奨,2,,,,,,,,
miyanoura-port,宮浦港（直島）,鳥白島港・最初の上陸地,直島,港・交通,34.456620918718194,133.97462116533893,high,true,confirmed,open,,香川県香川郡直島町2249-40,"高松港からフェリー約50分（¥520）/ 高速船約25分（¥1,220）。",羽依里が最初に上陸する最重要の聖地。フェリーと高速船が発着し、水上アート「直島パヴィリオン」が浮かぶ。海の駅なおしまを併設。,,5,,true,https://summer-pockets.main.jp/2024/07/26/torishirojima-minato/,https://summer-pockets.main.jp/wp-content/uploads/2024/07/minato-3.jpg,true,true,true,1|2|10|16
